pair;anger;fear;joy;sadness;positive;negative
Svevo Livia;14;0;43;43;50;50
Svevo Livia;0;10;20;70;10;90
Svevo Livia;26;5;26;42;37;63
Svevo Livia;8;0;69;23;46;54
Svevo Livia;13;0;33;53;33;67
Svevo Livia;15;20;20;45;20;80
Svevo Livia;20;3;23;53;30;70
Svevo Livia;32;5;18;45;18;82
Svevo Livia;0;0;43;57;64;36
Svevo Livia;24;0;39;36;42;58
Svevo Livia;17;0;50;33;50;50
Svevo Livia;12;12;38;38;38;62
Svevo Livia;13;7;37;43;40;60
Svevo Livia;0;0;44;56;33;67
Svevo Livia;29;7;7;57;21;79
Svevo Livia;24;0;35;41;35;65
Svevo Livia;12;0;18;71;29;71
Svevo Livia;6;0;41;53;41;59
Svevo Livia;0;0;25;75;38;62
Svevo Livia;23;4;35;38;35;65
Svevo Livia;22;7;30;41;30;70
Svevo Livia;12;4;33;50;33;67
Svevo Livia;15;0;30;56;37;63
Svevo Livia;20;7;24;49;20;80
Svevo Livia;16;6;16;63;14;86
Svevo Livia;7;0;41;52;41;59
Svevo Livia;19;8;33;39;42;58
Svevo Marangoni;18;0;64;18;45;55
Svevo Menassé;10;5;65;20;65;35
Svevo Montale;19;2;38;40;57;43
Svevo Montale;10;5;40;45;50;50
Svevo Montale;6;0;59;35;53;47
Svevo Montale;22;0;56;22;56;44
Svevo Montale;8;8;50;33;42;58
Svevo Montale;16;5;42;37;47;53
Svevo Montale;22;0;39;39;35;65
Svevo Montale;6;0;50;44;44;56
Svevo Montale;0;0;58;42;58;42
Svevo Montale;9;9;18;64;24;76
Svevo Montale;11;5;47;37;47;53
Svevo Montale;28;6;28;39;22;78
Svevo Montale;0;0;67;33;73;27
Svevo Montale;8;15;46;31;54;46
Svevo Montale;18;3;26;53;29;71
Svevo Montale;8;0;62;31;54;46
Svevo Montale;14;0;43;43;46;54
Svevo Montale;11;5;47;37;42;58
Svevo Montale;0;0;44;56;52;48
Svevo Montale;15;10;40;35;60;40
Svevo Montale;12;4;29;54;46;54
Svevo Montale;14;10;43;33;52;48
Svevo Montale;7;0;27;67;33;67
Svevo Montale;15;10;35;40;40;60
Svevo Montale;22;3;34;41;44;56
Svevo Montale;25;5;30;40;30;70
Svevo Montale;21;3;30;45;39;61
Svevo Montale;14;3;24;59;17;83
Svevo Montale;28;11;22;39;28;72
Svevo Montale;25;0;42;33;58;42
Svevo Montale;0;0;41;59;45;55
Svevo Montale;15;2;35;48;38;62
Svevo Montale;8;5;45;42;48;52
Svevo Montale;21;9;34;36;26;74
Svevo Montale;11;0;39;50;50;50
Svevo Montale;20;4;30;46;39;61
Svevo Montale;16;0;32;53;37;63
Svevo Montale;19;2;33;46;40;60
Svevo Montale;25;6;31;38;31;69
Svevo Montale;18;6;29;47;18;82
Svevo Montale;9;0;13;78;26;74
Svevo Montale;12;3;36;48;33;67
Svevo Montale;14;5;32;50;36;64
Svevo Montale;25;12;38;25;38;62
Svevo Montale;17;0;33;50;0;100
Svevo Montale;38;12;38;12;25;75
Svevo Montale;12;0;46;42;38;62
Svevo Montale;30;0;50;20;50;50
Svevo Montale;26;5;42;26;42;58
Svevo Montale;14;0;48;38;43;57
Svevo Montale;21;7;29;43;50;50
Svevo Montale;9;4;39;48;43;57
Svevo Montale;18;2;36;44;32;68
Svevo Montale;10;0;80;10;80;20
Svevo Montale;22;0;26;52;39;61
Svevo Montale;26;0;33;41;33;67
Svevo Montale;0;0;50;50;50;50
Svevo Montale;6;6;61;28;61;39
Svevo Montale;17;11;33;39;44;56
Svevo Montale;8;0;58;33;58;42
Svevo Montale;0;0;54;46;54;46
Svevo Montale;0;0;100;0;100;0
Svevo Morreale;10;0;30;60;50;50
Svevo Nella;8;8;42;42;21;79
Svevo Olga;8;0;38;54;54;46
Svevo Olga;0;0;36;64;36;64
Svevo Ottavio;6;14;16;65;23;77
Svevo Ottavio;23;0;15;62;15;85
Svevo Ottavio;32;5;16;47;0;100
Svevo Ottavio;12;6;31;50;44;56
Svevo Ottavio;18;18;27;36;27;73
Svevo Paolo;20;0;60;20;40;60
Svevo Pasini;7;7;50;36;43;57
Svevo Pasini;0;0;50;50;38;62
Svevo Pasini;0;0;67;33;67;33
Svevo Pasini;0;0;36;64;36;64
Svevo Pasini;14;0;57;29;71;29
Svevo Pasini;6;6;50;38;50;50
Svevo Pasini;0;0;57;43;29;71
Svevo Pasini;7;0;64;29;64;36
Svevo Pasini;14;0;71;14;57;43
Svevo Pasini;14;0;57;29;43;57
Svevo Pasini;12;0;50;38;50;50
Svevo Piceni;0;0;100;0;75;25
Svevo Prezzolini;6;6;35;53;29;71
Svevo Prezzolini;4;0;38;58;42;58
Svevo Prezzolini;8;17;25;50;17;83
Svevo Prezzolini;0;6;38;56;62;38
Svevo Prezzolini;27;13;33;27;40;60
Svevo Prezzolini;0;0;62;38;38;62
Svevo Prezzolini;26;0;17;57;20;80
Svevo Prezzolini;14;7;14;64;29;71
Svevo Prezzolini;12;3;26;59;35;65
Svevo Prezzolini;0;0;86;14;71;29
Svevo Prezzolini;9;0;55;36;55;45
Svevo Prezzolini;0;0;75;25;67;33
Svevo Rendi;16;5;16;63;26;74
Svevo Rendi;0;0;33;67;33;67
Svevo Rocca;22;0;33;44;33;67
Svevo Rossi;0;0;80;20;80;20
Svevo Rusconi Besso;16;0;29;55;26;74
Svevo Rusconi Besso;12;0;69;19;56;44
Svevo Schiffrer;19;5;43;33;29;71
Svevo Somaré;15;7;33;44;37;63
Svevo Tedeschi;20;0;13;67;7;93
Svevo Treves;0;0;40;60;50;50
Svevo Treves;12;0;12;76;41;59
Svevo Treves;5;0;47;47;37;63
Svevo Tribel;0;0;50;50;75;25
Svevo Tribel;0;0;75;25;50;50
Svevo Tribel;17;0;67;17;67;33
