pair;anger;fear;joy;sadness;positive;negative
Svevo Livia;13;2;18;67;27;73
Svevo Livia;27;0;23;50;32;68
Svevo Livia;23;4;27;46;25;75
Svevo Livia;13;7;17;63;24;76
Svevo Livia;0;0;33;67;42;58
Svevo Livia;33;0;27;39;30;70
Svevo Livia;15;5;29;51;34;66
Svevo Livia;7;7;31;56;29;71
Svevo Livia;33;4;26;37;29;71
Svevo Livia;23;5;21;50;27;73
Svevo Livia;11;8;23;58;32;68
Svevo Livia;15;2;30;53;36;64
Svevo Livia;20;12;19;48;24;76
Svevo Livia;19;7;22;52;21;79
Svevo Livia;16;8;17;59;21;79
Svevo Livia;13;2;33;51;36;64
Svevo Livia;10;7;24;59;22;78
Svevo Livia;14;6;25;56;28;72
Svevo Livia;29;5;23;44;24;76
Svevo Livia;15;0;20;66;33;67
Svevo Livia;5;20;25;50;35;65
Svevo Livia;0;11;44;44;67;33
Svevo Livia;25;8;22;44;25;75
Svevo Livia;13;11;23;53;30;70
Svevo Livia;23;18;18;41;18;82
Svevo Livia;20;7;27;47;47;53
Svevo Livia;18;5;26;51;27;73
Svevo Livia;14;5;32;50;27;73
Svevo Livia;11;3;34;53;42;58
Svevo Livia;20;9;30;41;34;66
Svevo Livia;6;6;28;61;33;67
Svevo Livia;17;0;25;58;29;71
Svevo Livia;19;9;22;50;19;81
Svevo Livia;20;10;31;39;29;71
Svevo Livia;11;3;28;57;34;66
Svevo Livia;20;2;26;52;28;72
Svevo Livia;5;5;40;50;50;50
Svevo Livia;10;0;40;50;35;65
Svevo Livia;26;9;14;51;20;80
Svevo Livia;24;4;24;47;22;78
Svevo Livia;20;3;27;50;37;63
Svevo Livia;22;4;35;39;33;67
Svevo Livia;17;2;29;52;34;66
Svevo Livia;7;0;36;57;50;50
Svevo Livia;22;5;31;42;27;73
Svevo Livia;34;0;26;40;32;68
Svevo Livia;22;10;29;39;31;69
Svevo Livia;25;3;29;43;28;72
Svevo Livia;18;4;33;46;35;65
Svevo Livia;16;6;31;47;29;71
Svevo Livia;26;4;44;26;33;67
Svevo Livia;8;10;31;52;29;71
Svevo Livia;20;0;40;40;40;60
Svevo Livia;0;0;31;69;46;54
Svevo Livia;11;7;37;44;48;52
Svevo Livia;5;0;35;60;40;60
Svevo Livia;19;8;35;38;31;69
Svevo Livia;19;3;26;52;42;58
Svevo Livia;9;9;36;45;36;64
Svevo Livia;14;11;14;61;11;89
Svevo Livia;25;0;15;60;20;80
Svevo Livia;15;6;40;40;32;68
Svevo Livia;17;8;8;67;17;83
Svevo Livia;17;0;39;44;33;67
Svevo Livia;8;4;38;50;33;67
Svevo Livia;22;9;22;48;13;87
Svevo Livia;37;3;16;45;16;84
Svevo Livia;15;10;33;41;41;59
Svevo Livia;14;9;28;48;30;70
Svevo Livia;10;2;30;57;40;60
Svevo Livia;12;9;21;58;19;81
Svevo Livia;12;0;25;62;38;62
Svevo Livia;13;2;31;54;35;65
Svevo Livia;0;17;50;33;50;50
Svevo Livia;29;0;43;29;29;71
Svevo Livia;10;6;32;52;26;74
Svevo Livia;13;0;47;40;47;53
Svevo Livia;10;10;29;52;32;68
Svevo Livia;17;0;25;58;17;83
Svevo Livia;8;8;27;58;35;65
Svevo Livia;9;3;28;59;19;81
Svevo Livia;0;15;30;55;33;67
Svevo Livia;20;10;20;50;20;80
Svevo Livia;0;6;29;65;29;71
Svevo Livia;9;9;41;41;41;59
Svevo Livia;17;0;33;50;25;75
Svevo Livia;15;10;40;35;30;70
Svevo Livia;8;0;67;25;50;50
Svevo Livia;0;17;22;61;39;61
Svevo Livia;0;0;45;55;45;55
Svevo Livia;40;7;13;40;7;93
Svevo Livia;20;13;20;47;27;73
Svevo Livia;12;0;75;12;62;38
Svevo Livia;8;0;31;62;23;77
Svevo Livia;17;7;38;38;24;76
Svevo Livia;29;0;36;36;43;57
Svevo Livia;9;9;27;55;27;73
Svevo Livia;21;4;25;50;33;67
Svevo Livia;6;6;44;44;31;69
Svevo Livia;17;0;33;50;25;75
Svevo Livia;9;4;39;48;35;65
Svevo Livia;14;7;43;36;36;64
Svevo Livia;22;0;44;33;33;67
Svevo Livia;0;0;50;50;25;75
Svevo Livia;29;3;16;53;18;82
Svevo Livia;8;0;25;67;25;75
Svevo Livia;0;0;33;67;22;78
Svevo Livia;30;0;40;30;30;70
Svevo Livia;41;0;35;24;29;71
Svevo Livia;0;0;62;38;46;54
Svevo Livia;36;5;27;32;23;77
Svevo Livia;14;0;57;29;29;71
Svevo Livia;20;7;33;40;40;60
Svevo Livia;6;6;28;61;17;83
Svevo Livia;8;0;50;42;33;67
Svevo Livia;15;0;15;70;15;85
Svevo Livia;13;0;40;47;60;40
Svevo Livia;0;0;50;50;50;50
Svevo Livia;10;0;40;50;50;50
Svevo Livia;21;5;23;51;28;72
Svevo Livia;11;4;41;43;41;59
Svevo Livia;19;7;26;48;33;67
Svevo Livia;18;8;31;44;39;61
Svevo Livia;20;5;23;52;25;75
Svevo Livia;22;2;27;49;27;73
Svevo Livia;35;0;35;31;35;65
Svevo Livia;16;0;25;59;38;62
Svevo Livia;15;0;38;46;23;77
Svevo Livia;0;10;35;55;30;70
Svevo Livia;15;5;37;43;42;58
Svevo Livia;15;12;40;32;45;55
Svevo Livia;0;6;29;65;39;61
Svevo Livia;7;3;48;41;48;52
Svevo Livia;8;12;28;52;24;76
Svevo Livia;26;2;20;51;27;73
Svevo Livia;14;11;23;51;26;74
Svevo Livia;13;7;27;53;29;71
Svevo Livia;14;4;37;45;35;65
Svevo Livia;6;6;35;52;29;71
Svevo Livia;8;8;28;56;36;64
Svevo Livia;24;0;41;35;53;47
Svevo Livia;24;0;38;38;43;57
Svevo Livia;8;0;25;67;42;58
Svevo Livia;13;0;40;47;53;47
Svevo Livia;20;2;29;50;36;64
Svevo Livia;11;3;37;49;46;54
Svevo Livia;21;0;17;62;12;88
Svevo Livia;7;7;33;53;40;60
