year;anger;fear;joy;sadness;positive;negative
1901;21;0;37;42;26;74
1901;17;0;38;46;42;58
1901;19;2;26;52;31;69
1901;23;0;41;36;45;55
1901;13;3;37;47;37;63
1901;22;2;35;41;31;69
1901;15;8;27;50;42;58
1901;11;4;21;64;29;71
1901;12;5;41;41;44;56
1901;29;1;33;36;32;68
1901;27;0;20;54;29;71
1901;11;9;16;64;27;73
1901;20;1;28;51;30;70
1901;21;0;24;55;21;79
1901;5;5;38;52;33;67
1901;25;0;50;25;50;50
1901;18;9;45;27;55;45
1901;7;13;40;40;27;73
1901;0;25;25;50;25;75
1902;10;0;35;55;45;55
1902;12;0;42;46;38;62
1902;12;17;25;46;12;88
1902;0;0;57;43;50;50
1902;33;0;33;33;22;78
1902;7;4;45;44;45;55
1902;0;0;67;33;78;22
1902;6;0;33;61;28;72
1902;12;4;54;29;54;46
1902;11;17;17;56;22;78
1902;50;0;50;0;0;100
1902;20;0;40;40;40;60
1903;30;0;40;30;60;40
1903;35;4;22;39;17;83
1903;20;10;30;40;40;60
1903;0;0;50;50;25;75
1903;0;0;50;50;50;50
1903;20;7;20;53;33;67
1903;15;5;35;45;45;55
1903;9;0;36;55;27;73
1903;0;0;38;62;25;75
1903;8;0;38;54;46;54
1903;0;10;30;60;30;70
1903;0;0;50;50;50;50
1903;32;5;42;21;32;68
1903;6;12;18;65;35;65
1903;9;9;41;41;36;64
1903;0;0;23;77;46;54
1903;17;8;17;58;17;83
1903;20;7;27;47;40;60
1903;6;12;29;53;41;59
1903;17;8;25;50;50;50
1903;29;0;29;43;14;86
1903;7;7;50;36;36;64
1903;32;0;32;35;39;61
1903;12;0;46;42;33;67
1903;29;0;36;36;36;64
1903;16;0;32;52;36;64
1903;0;0;50;50;50;50
1903;23;9;23;45;23;77
1903;8;0;50;42;50;50
1903;15;15;25;45;50;50
1903;0;0;57;43;43;57
1903;21;7;36;36;36;64
1903;0;8;33;58;50;50
1903;7;0;47;47;40;60
1903;0;0;50;50;25;75
1903;8;4;48;40;48;52
1903;21;0;24;55;33;67
1903;26;4;33;37;26;74
1903;11;5;42;42;32;68
1903;19;0;27;54;32;68
1903;16;2;18;65;23;77
1903;20;3;43;33;33;67
1903;20;4;36;40;40;60
1903;33;0;33;33;44;56
1903;8;0;38;54;35;65
1903;11;0;56;33;56;44
1903;7;7;33;53;30;70
1903;24;3;27;45;36;64
1903;11;11;34;45;29;71
1903;8;0;33;58;36;64
1903;12;6;35;47;29;71
1903;4;4;48;43;61;39
1903;19;0;31;50;44;56
1903;0;5;29;67;29;71
1903;16;4;40;40;48;52
1903;6;3;31;61;31;69
1903;14;5;43;38;33;67
1903;15;8;19;58;23;77
1903;16;4;36;44;36;64
1903;12;0;56;32;52;48
1903;8;4;16;72;20;80
1903;10;0;38;52;41;59
1903;11;0;37;52;37;63
1903;10;0;50;40;40;60
1903;0;0;83;17;83;17
1903;0;0;67;33;33;67
1903;0;0;67;33;33;67
1904;11;11;22;56;11;89
1904;0;17;50;33;33;67
1904;20;0;20;60;20;80
1904;0;0;50;50;67;33
1904;10;0;30;60;50;50
1904;20;7;47;27;53;47
1904;33;4;17;46;21;79
1904;25;12;38;25;25;75
1904;0;0;60;40;60;40
1904;0;11;56;33;56;44
1904;9;0;36;55;45;55
