"","x"
"1",0.0625174451636978
"2",0.0669505186827869
"3",0.0929276084283943
"4",0.105679766017069
"5",0.108742894514203
"6",0.106746563503086
"7",0.093873229658601
"8",0.108559113816918
"9",0.104135859612382
"10",0.107539999858693
"11",0.104174467518452
"12",0.118958349499592
"13",0.0911458152826165
"14",0.107973132494827
"15",0.11405541962131
"16",0.111525569519788
"17",0.112996110918632
"18",0.114266527549583
"19",0.118613702463793
"20",0.118868503510839
"21",0.117443236544044
"22",0.128232339177249
"23",0.101636479533523
"24",0.12044220433481
"25",0.114003147277179
"26",0.125822868115116
"27",0.115270995853462
"28",0.111421302157583
"29",0.119120612158645
"30",0.107914065002503
"31",0.115310091546213
"32",0.110630381731703
"33",0.116520218580179
"34",0.11008168791972
"35",0.115972415837291
"36",0.108155148775262
"37",0.127535316482323
"38",0.126094404455541
"39",0.119531198036579
"40",0.114971090853899
"41",0.130929673584035
"42",0.114257117339895
"43",0.127075862124603
"44",0.110240883332208
"45",0.113384631125926
"46",0.112827686480085
"47",0.123181478816124
"48",0.118425954484725
"49",0.114496974775475
"50",0.114374124380006
